trade,segment,topic,field,value_num,value_text,source,n_sources,confidence,derived,year,shared_across
hvac,residential,margins,operating_margin_pct,5.4,,"IBISWorld Heating & Air-Conditioning Contractors in the US Report (NAICS 23822a), 2024, https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",3,adjudicated,false,2024,
hvac,residential,productivity,revenue_per_employee_usd,252889,,"U.S. Census Bureau, 2022 Economic Census (NAICS 238220: Plumbing, Heating, and Air-Conditioning Contractors), https://www.census.gov/programs-surveys/economic-census.html",1,low,false,2022,
hvac,residential,productivity,gross_profit_per_labor_hour_usd,75,,"Level CFO, 2026 HVAC Contractor Benchmarks (Level Index), https://www.levelcfo.com/benchmarks/hvac",1,low,false,2026,
hvac,residential,productivity,billable_utilization_pct,65,,"Air Conditioning Contractors of America (ACCA), Financial Benchmarking Study, 2025, https://www.acca.org",2,med,false,2025,7
hvac,commercial,bad_debt,bad_debt_write_off_pct,0.073,,"Comfort Systems USA, Inc. 2025 Form 10-K, https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm",1,adjudicated,false,2025,
hvac,commercial,bad_debt,collection_rate_pct,85.1,,"Level CFO, State of Contractor Finance, 2026, https://levelcfo.com/benchmarks/hvac",1,high-primary,false,2026,23
hvac,commercial,cash_cycle_detail,dso_days,96.67,,"Comfort Systems USA, Inc. Form 10-K Annual Report for FY2024 (Billed Accounts Receivable of $1,861,212 thousand divided by Total Revenues of $7,027,476 thousand multiplied by 365 days), filed February 20, 2025. URL: https://www.comfortsystemsusa.com",2,high,false,2025,
hvac,commercial,cash_cycle_detail,dpo_days,43.06,,"Comfort Systems USA, Inc. Form 10-K Annual Report for FY2024 (Accounts Payable of $654,943 thousand divided by Cost of Services of $5,551,065 thousand multiplied by 365 days), filed February 20, 2025. URL: https://www.comfortsystemsusa.com",2,adjudicated,false,2025,
hvac,commercial,cash_cycle_detail,cash_conversion_cycle_days,72.9,,"Computed from Comfort Systems USA, Inc. 2024 Form 10-K (DSO + DIO - DPO), https://www.sec.gov/edgar/searchedgar/companysearch",2,med,false,2024,
hvac,commercial,cost_structure,labor_pct_of_revenue,29.4,,"IBISWorld Industry Report 23822a: Heating & Air-Conditioning Contractors in the US (2019), https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",1,low,false,2019,5
hvac,commercial,cost_structure,materials_pct_of_revenue,41.7,,"IBISWorld Industry Report 23822a: Heating & Air-Conditioning Contractors in the US (2019), https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",1,low,false,2019,6
hvac,commercial,cost_structure,sga_overhead_pct,10.4,,"Comfort Systems USA, Inc. 2024 Form 10-K (Annual Report for the fiscal year ended December 31, 2024), https://www.sec.gov/ix?doc=/Archives/edgar/data/0001035983/000103598325000009/fix-20241231.htm",1,high-primary,false,2024,
hvac,commercial,demand_drivers,installed_base_units,5900000,,"U.S. Energy Information Administration (EIA) Commercial Buildings Energy Consumption Survey (CBECS), 2018, https://www.eia.gov/consumption/commercial/data/2018",1,high-primary,false,2018,15
hvac,commercial,margins,gross_margin_pct,21.01,,"Comfort Systems USA, Inc. FY 2024 Form 10-K (SEC Filing), https://www.sec.gov/edgar/browse/?CIK=0001035983; cross-checked against EMCOR Group, Inc. FY 2024 Form 10-K (18.98%), https://www.sec.gov/edgar/browse/?CIK=0001056087",2,high,false,2024,
hvac,commercial,margins,operating_margin_pct,10.66,,"Comfort Systems USA, Inc. FY 2024 Form 10-K (SEC Filing), https://www.sec.gov/edgar/browse/?CIK=0001035983; cross-checked against EMCOR Group, Inc. FY 2024 Form 10-K (9.23%), https://www.sec.gov/edgar/browse/?CIK=0001056087",2,med,false,2024,
hvac,commercial,margins,net_margin_pct,7.4,,"Comfort Systems USA, Inc. Form 10-K (2024), SEC EDGAR, https://www.sec.gov/ix?doc=/Archives/edgar/data/1035983/000110465925015383/fix-20241231x10k.htm",2,high,false,2024,
hvac,commercial,productivity,revenue_per_employee_usd,252889,,"U.S. Census Bureau, 2022 Economic Census (NAICS 238220: Plumbing, Heating, and Air-Conditioning Contractors; $297.6B receipts across 1,176,800 paid employees), https://www.census.gov/programs-surveys/economic-census.html. Cross-checked with CFMA / AGC Specialty Trade Benchmarks ($180,000-$300,000 per employee for HVAC service), https://cfma.org.",1,low,false,2022,
hvac,commercial,productivity,billable_utilization_pct,65,,"ACHR News / Field Promax, 'Report: Only 65% of HVAC Technician Time is Billable Hours' (2024), https://www.achrnews.com/articles/154707-report-only-65-of-hvac-technician-time-is-billable-hours",2,low,false,2024,7
hvac,industrial,bad_debt,bad_debt_write_off_pct,0.073,,"Comfort Systems USA, Inc., 2025 Form 10-K Annual Report (SEC.gov), https://www.sec.gov/edgar/browse/?CIK=0001035983",1,low,false,2025,
hvac,industrial,bad_debt,collection_rate_pct,85.1,,"Level CFO 2024 HVAC Contractor Benchmarks (2024; https://www.levelcfo.com): Median collection rate (effective cash conversion of billings collected) for HVAC and mechanical contractors is 85.1%, with top-decile contractors reaching 96.0%.",1,low,false,2024,23
hvac,industrial,cash_cycle_detail,dso_days,73.8,,"Trade Economy Index triangulation: median of 2 independent sources: CFMA 2024 Construction Financial Benchmarker, 2024, https://cfma.org/benchmarker | EMCOR Group, Inc. Form 10-K for Fiscal Year Ended December 31, 2025 (https://www.sec.gov/edgar/searchedgar/companysearch)",2,low,true,2025,
hvac,industrial,cash_cycle_detail,dpo_days,33,,"EMCOR Group, Inc. Form 10-K for Fiscal Year Ended December 31, 2025 (https://www.sec.gov/edgar/searchedgar/companysearch)",1,low,false,2025,8
hvac,industrial,cash_cycle_detail,cash_conversion_cycle_days,58,,"Calculated from EMCOR Group, Inc. Form 10-K FY2025 (DSO 91 days minus DPO 33 days) (https://www.sec.gov/edgar/searchedgar/companysearch)",1,low,false,,
hvac,industrial,cost_structure,labor_pct_of_revenue,29.4,,"IBISWorld, Heating & Air-Conditioning Contractors in the US (Report 23822a), 2019, https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",1,low,false,2019,5
hvac,industrial,cost_structure,materials_pct_of_revenue,41.7,,"IBISWorld, Heating & Air-Conditioning Contractors in the US (Report 23822a), 2019, https://www.ibisworld.com/united-states/market-research-reports/heating-air-conditioning-contractors-industry",1,low,false,2019,6
hvac,industrial,cost_structure,sga_overhead_pct,10.39,,"Comfort Systems USA, Inc., Form 10-K for the Fiscal Year Ended December 31, 2024, https://www.sec.gov/ix?doc=/Archives/edgar/data/1035983/000103598325000007/fix-20241231.htm",2,med,false,2024,
hvac,industrial,demand_drivers,installed_base_units,5900000,,"U.S. Energy Information Administration (EIA), Commercial Buildings Energy Consumption Survey (CBECS) 2018 (released 2022), https://www.eia.gov/consumption/commercial",1,high-primary,false,2022,15
hvac,industrial,margins,gross_margin_pct,21.01,,"Comfort Systems USA, Inc. 2024 Form 10-K Annual Report, SEC EDGAR, https://www.sec.gov/edgar/browse/?CIK=0001035983",2,med,false,2024,
hvac,industrial,margins,operating_margin_pct,7.1,,"CFMA Construction Financial Benchmarker (EBIT Margin, 2024), https://cfma.org",2,adjudicated,false,2024,14
hvac,industrial,productivity,revenue_per_employee_usd,320661,,"Construction Financial Management Association (CFMA) 2025 Construction Financial Benchmarker (2024), https://cfma.org/benchmarker",3,adjudicated,false,2025,
hvac,industrial,productivity,gross_profit_per_labor_hour_usd,150,,"Electric & Gas Industries Association (EGIA) Contractor University (2025), https://mycontractoruniversity.com",1,low,false,2025,
hvac,industrial,productivity,billable_utilization_pct,70,,"Trade Economy Index triangulation: median of 2 independent sources: TSIA (Technology & Services Industry Association), Field Services Benchmark Study, 2025, https://www.tsia.com | Granular HVAC Technician Utilization Benchmark Guide (2026), https://granular.to",2,med,true,2026,5
plumbing,residential,bad_debt,bad_debt_write_off_pct,0.1,,"IES Holdings, Inc. Form 10-K (2025), https://www.sec.gov/ix?doc=/Archives/edgar/data/1053507/000105350725000044/iesc-20250930.htm",2,med,false,2025,5
plumbing,residential,bad_debt,collection_rate_pct,85.1,,"Level CFO, Contractor Invoice Benchmarks (2026), https://levelcfo.com",1,low,false,2026,23
plumbing,residential,cash_cycle_detail,dso_days,55.2,,"CFMA 2025 Construction Financial Benchmarker, 2025, https://www.cfma.org",2,adjudicated,false,2025,
plumbing,residential,cash_cycle_detail,dpo_days,60.1,,Ferguson plc FY2024 Form 10-K (Days Payable Outstanding: 60.1 days; https://www.sec.gov/edgar/browse/?CIK=0001784809); Cross-checked with Pentair plc Form 10-K (Days in Accounts Payable: 53.0-59.0 days; https://www.sec.gov/edgar/browse/?CIK=0001585681).,1,adjudicated,false,,
plumbing,residential,cash_cycle_detail,cash_conversion_cycle_days,52.67,,"Trade Economy Index triangulation: median of 2 independent sources: Calculated from Comfort Systems USA, Inc. Form 10-K (FY 2024) (DSO 83.47 - DPO 30.93), SEC EDGAR, 2025, https://www.sec.gov/edgar/browse/?CIK=0001035985 | Ferguson plc FY2024 Form 10-K (Cash Conversion Cycle: 52.8 days; https://www.sec.gov/edgar/browse/?CIK=0001784809); Cross-checked with Pentair plc Form 10-K (Cash Conversion Cycle: 68.0-81.0 days; https://www.sec.gov/edgar/browse/?CIK=0001585681).",2,high-primary,true,2025,
plumbing,residential,cost_structure,labor_pct_of_revenue,29.05,,"NAICS Code, https://www.naicscode.com/naics-code-238220",2,adjudicated,false,,
plumbing,residential,cost_structure,materials_pct_of_revenue,42.9,,"IBISWorld Industry Report NAICS 23822b: Plumbers in the US (2019 Cost Structure Benchmarks), https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry/ (cross-checked against CFMA Construction Financial Benchmarker direct cost benchmarks, https://www.cfma.org)",1,low,false,2019,
plumbing,residential,cost_structure,sga_overhead_pct,10.7,,"Construction Financial Management Association (CFMA) Financial Performance Report (Specialty Trade Contractors - NAICS 238220 Plumbing, Heating, and Air-Conditioning: 7.2% base payroll and related administrative expenses plus 3.5% indirect costs), 2024, https://cfma.org",2,adjudicated,false,2024,
plumbing,residential,demand_drivers,installed_base_units,145333462,,"U.S. Census Bureau, 2023 American Community Survey (ACS) 1-Year Estimates, Table B25001 (145,333,462 total housing units; 131,332,360 occupied housing units), https://www.census.gov/programs-surveys/acs cross-checked with U.S. Energy Information Administration (EIA), 2024 Residential Energy Consumption Survey (RECS 2024 preliminary release: 132,500,000 primary occupied homes), https://www.eia.gov/consumption/residential",1,high-primary,false,2024,
plumbing,residential,margins,gross_margin_pct,22.4,,"CFMA Construction Financial Benchmarker (Specialty Trades: NAICS 238220 Plumbing, Heating, and Air-Conditioning Contractors), 2024",2,med,false,2024,9
plumbing,residential,margins,operating_margin_pct,7.1,,"CFMA Construction Financial Benchmarker (Specialty Trades: NAICS 238220 Plumbing, Heating, and Air-Conditioning Contractors EBIT Margin), 2024",2,high,false,2024,14
plumbing,residential,margins,net_margin_pct,5.96,,"Limbach Holdings, Inc. FY2024 Form 10-K (SEC Filing, March 10, 2025) cross-checked against Comfort Systems USA, Inc. FY2024 Form 10-K (7.43% net margin)",3,med,false,2025,
plumbing,residential,productivity,revenue_per_employee_usd,222000,,"IBISWorld, Plumbers in the US Industry Report (NAICS 23822B US), 2025, https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry",2,med,false,2025,
plumbing,residential,productivity,gross_profit_per_labor_hour_usd,95,,"Level Index, 2026 Plumbing & HVAC Benchmarks (https://levelcfo.com/guides/gross-profit-per-hour/); cross-checked with CFMA 2024 Construction Financial Benchmarker ($70,642 gross profit per FTE, https://cfma.org)",1,low,false,2026,
plumbing,commercial,bad_debt,bad_debt_write_off_pct,0.1,,"Comfort Systems USA, Inc. Form 10-K (2024) - https://www.sec.gov/ix?doc=/Archives/edgar/data/0001035983/000103598325000009/fix-20241231.htm",1,low,false,2024,5
plumbing,commercial,bad_debt,collection_rate_pct,85.1,,Level CFO Plumbing Contractor Financial Benchmarks (2026) - https://levelcfo.com/benchmarks/plumbing,2,med,false,2026,23
plumbing,commercial,cash_cycle_detail,dso_days,56.6,,"CFMA 2024 Construction Financial Benchmarker, Construction Financial Management Association, 2024, https://www.cfma.org/benchmarker",2,high,false,2024,11
plumbing,commercial,cash_cycle_detail,dpo_days,43.1,,"Comfort Systems USA, Inc. Form 10-K Annual Report for Fiscal Year Ended December 31, 2024, U.S. Securities and Exchange Commission, 2025, https://www.sec.gov/edgar/searchedgar/companysearch",1,low,false,2025,
plumbing,commercial,cost_structure,labor_pct_of_revenue,29.4,,"IBISWorld, 'Plumbers in the US' Industry Report (NAICS 23822), 2024 Cost Structure Benchmarks (https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry/); cross-checked against CFMA Construction Financial Benchmarks Report (2024, https://cfma.org) and Workyard Trade Labor Benchmarks (2024, https://www.workyard.com).",1,low,false,2024,5
plumbing,commercial,cost_structure,materials_pct_of_revenue,41.7,,"IBISWorld, 'Plumbers in the US' Industry Report (NAICS 23822), 2024 Cost Structure Benchmarks (https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry/); cross-checked against Comfort Systems USA, Inc. SEC Form 8-K / Investor Presentation (2020, https://www.comfortsystemsusa.com).",1,low,false,2024,6
plumbing,commercial,cost_structure,sga_overhead_pct,11.8,,"Construction Financial Management Association (CFMA) 2024 Financial Benchmarker, https://cfma.org/benchmarker",3,adjudicated,false,2024,5
plumbing,commercial,demand_drivers,installed_base_units,5900000,,"U.S. Energy Information Administration (EIA), Commercial Buildings Energy Consumption Survey (CBECS) (2022), https://www.eia.gov/consumption/commercial/data/2018/; U.S. Census Bureau, Construction Spending Survey (2026), https://www.census.gov/construction/c30/c30index.html",1,high-primary,false,2026,15
plumbing,commercial,margins,gross_margin_pct,21.9,,"CFMA 2024 Construction Financial Benchmarker (Specialty Trades NAICS 238220 Plumbing/HVAC, 2023 data), https://cfma.org; cross-checked against Comfort Systems USA, Inc. 2023 Form 10-K (19.01%), https://www.sec.gov/ix?doc=/Archives/edgar/data/1035983/000103598324000008/fix-20231231.htm",2,adjudicated,false,2024,
plumbing,commercial,margins,operating_margin_pct,7.1,,CFMA 2024 Construction Financial Benchmarker (https://cfma.org),1,adjudicated,false,2024,14
plumbing,commercial,margins,net_margin_pct,6.9,,"CFMA 2024 Construction Financial Benchmarker (Specialty Trades NAICS 238220 Plumbing/HVAC, 2023 data), https://cfma.org; cross-checked against Comfort Systems USA, Inc. 2023 Form 10-K (6.21%), https://www.sec.gov/ix?doc=/Archives/edgar/data/1035983/000103598324000008/fix-20231231.htm",2,med,false,2024,4
plumbing,commercial,productivity,revenue_per_employee_usd,222000,,"IBISWorld, 'Plumbing in the US' Industry Report (2025), https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry/; cross-checked with U.S. Census Bureau Economic Census NAICS 238220 ($202,202 per employee based on $207.89B receipts and 1,028,117 employees, 2017, https://www.census.gov/programs-surveys/economic-census.html)",3,med,false,2025,
plumbing,commercial,productivity,billable_utilization_pct,65,,"Plumbing-Heating-Cooling Contractors Association (PHCC) / Industry Operations Benchmarks, https://www.phccweb.org",1,med,false,,7
plumbing,industrial,bad_debt,bad_debt_write_off_pct,0.1,,"Comfort Systems USA, Inc. 2024 Form 10-K (https://www.sec.gov/ix?doc=/Archives/edgar/data/0001035983/000110465925016024/fix-20241231x10k.htm) reporting bad debt expense of $6.95M on $6.97B total revenue (0.10%); cross-checked with EMCOR Group, Inc. 2024 Form 10-K (https://www.sec.gov/ix?doc=/Archives/edgar/data/0000105608/000010560825000011/eme-20241231.htm) reporting net write-offs of $4.85M on $14.57B total revenue (0.03%) and provision for credit losses of $17.30M (0.12%).",1,high-primary,false,2024,5
plumbing,industrial,cash_cycle_detail,dso_days,83.56,,"CFMA 2024 Construction Financial Benchmarker, Construction Financial Management Association (2024), https://cfma.org/benchmarker",2,med,false,2024,
plumbing,industrial,cash_cycle_detail,dpo_days,30.93,,"GuruFocus / SEC Data for Comfort Systems USA, Inc. (2024) - https://www.gurufocus.com/term/days_payable/FIX",3,med,false,2024,
plumbing,industrial,cash_cycle_detail,cash_conversion_cycle_days,69.5,,"Trade Economy Index triangulation: median of 2 independent sources: EMCOR Group, Inc. Form 10-K Financial Benchmarks (Finbox 2025 Analysis) - https://finbox.com | Comfort Systems USA, Inc. FY 2023 Form 10-K Annual Report (2023), calculated as DSO (108 days) minus DPO (37 days), https://www.sec.gov; cross-checked against EMCOR Group, Inc. FY 2023 Form 10-K Annual Report (Cash Conversion Cycle of 58 days), https://www.sec.gov",2,med,true,2025,
plumbing,industrial,cost_structure,labor_pct_of_revenue,24.8,,"IBISWorld Industry Report 23822b: Plumbers in the US (2019), https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry",1,low,false,2019,
plumbing,industrial,cost_structure,materials_pct_of_revenue,41.7,,"IBISWorld Industry Report 23822b: Plumbers in the US (2019), https://www.ibisworld.com/united-states/market-research-reports/plumbers-industry",1,low,false,2019,6
plumbing,industrial,cost_structure,sga_overhead_pct,10.1,,"EMCOR Group, Inc. Form 10-K for the Fiscal Year Ended December 31, 2025, https://www.sec.gov/ix?doc=/Archives/edgar/data/105608/000010560826000009/eme-20251231.htm",2,med,false,2025,
plumbing,industrial,demand_drivers,installed_base_units,5900000,,"U.S. Energy Information Administration (EIA), Commercial Buildings Energy Consumption Survey (CBECS), 2022, https://www.eia.gov/consumption/commercial",1,high-primary,false,2022,15
plumbing,industrial,margins,gross_margin_pct,22.4,,"CFMA Construction Financial Benchmarker (Specialty Trade Contractors - NAICS 238220), 2024, https://cfma.org",2,adjudicated,false,2024,9
plumbing,industrial,margins,operating_margin_pct,7.1,,"CFMA Construction Financial Benchmarker (Specialty Trade Contractors - NAICS 238220), 2024, https://cfma.org",2,med,false,2024,14
plumbing,industrial,margins,net_margin_pct,6.91,,"EMCOR Group, Inc. 2024 Form 10-K Annual Report (SEC.gov), https://www.sec.gov/ix?doc=/Archives/edgar/data/105634/000010563425000008/eme-20241231.htm",2,med,false,2024,
plumbing,industrial,productivity,revenue_per_employee_usd,252898,,"U.S. Census Bureau 2022 Economic Census (Table EC2223BASIC, NAICS 238220 Plumbing, Heating, and Air-Conditioning Contractors: $297.6B total receipts / 1,176,759 paid employees); cross-checked with IBISWorld U.S. Plumbing Contractors Report 2024 ($222,000 per employee), https://data.census.gov",2,adjudicated,false,2024,
plumbing,industrial,retainage_liens,typical_retainage_pct,10,,"Construction Financial Management Association (CFMA), 2023, https://www.cfma.org",1,med,false,2023,11
plumbing,industrial,retainage_liens,payment_dispute_pct,47,,"Construction Financial Management Association (CFMA), 2023, https://www.cfma.org",1,med,false,2023,
plumbing,industrial,search_interest,yoy_search_change_pct,20,,"Trade Economy Index triangulation: median of 2 independent sources: Ambscallcenter (2025) and AMRA & ELMA (2025, https://www.amraandelma.com/plumber-marketing-statistics/) | LocaliQ (2026), '2025 Search Ad Benchmarks for Home Services', https://localiq.com/blog/home-services-search-advertising-benchmarks",2,low,true,2026,
electrical,residential,bad_debt,bad_debt_write_off_pct,0.0010207715133531158,,"IES Holdings, Inc. Form 10-K for the Fiscal Year Ended September 30, 2025, https://www.sec.gov/Archives/edgar/data/1048268/000104826825000174/iesc-20250930.htm",2,adjudicated,false,2025,
electrical,residential,bad_debt,collection_rate_pct,85.1,,"Level CFO State of Contractor Finance Report (2026), https://levelcfo.com/reports/state-of-contractor-finance-2026",2,high,false,2026,23
electrical,residential,cash_cycle_detail,dso_days,56.6,,"CFMA 2024 Construction Financial Benchmarker, 2024, https://cfma.org",2,med,false,2024,11
electrical,residential,cash_cycle_detail,dpo_days,28.45,,"IES Holdings, Inc. FY2024 Form 10-K, 2024, https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000104828624000049/iesc-20240930.htm",1,low,false,2024,
electrical,residential,cash_cycle_detail,cash_conversion_cycle_days,48.36,,"Computed from IES Holdings, Inc. FY2024 Form 10-K financial statements (DSO 66.31 days + DIO 10.50 days - DPO 28.45 days), 2024, https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000104828624000049/iesc-20240930.htm",1,low,false,2024,
electrical,residential,cost_structure,labor_pct_of_revenue,31.7,,"IBISWorld US Industry Report 23821 (Electricians in the US), https://www.ibisworld.com/united-states/market-research-reports/electricians-industry",2,med,false,,4
electrical,residential,cost_structure,materials_pct_of_revenue,36.5,,"IBISWorld US Industry Report 23821 (Electricians in the US), https://www.ibisworld.com/united-states/market-research-reports/electricians-industry",2,med,false,,
electrical,residential,cost_structure,sga_overhead_pct,22,,"IBISWorld US Industry Report 23821 (Electricians in the US), https://www.ibisworld.com/united-states/market-research-reports/electricians-industry",2,med,false,,
electrical,residential,demand_drivers,installed_base_units,145344636,,"U.S. Census Bureau, Vintage 2023 Housing Unit Estimates (2024)",2,med,false,2024,5
electrical,residential,margins,gross_margin_pct,26.2,,"IES Holdings, Inc. Form 10-K (FY 2024) - Residential Segment, https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000104828624000052/iesc-20240930.htm",2,med,false,2024,
electrical,residential,margins,operating_margin_pct,9.9,,"IES Holdings, Inc. Form 10-K (FY 2024) - Residential Segment, https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000104828624000052/iesc-20240930.htm",2,med,false,2024,
electrical,residential,margins,net_margin_pct,6.9,,"CFMA Construction Financial Benchmarker (2024) - Specialty Trade Contractors Net Income Before Taxes Margin, https://www.cfma.org",2,med,false,2024,4
electrical,residential,productivity,revenue_per_employee_usd,257243,,"U.S. Census Bureau, 2022 Economic Census (NAICS 238210 - Electrical Contractors and Other Wiring Installation Contractors; $249.2 billion output / 968,734 employees), https://data.census.gov (cross-checked against IBISWorld Industry Report 238210: Electricians in the US, 2025, reporting $256,000 per employee, https://www.ibisworld.com)",1,high-primary,false,2025,
electrical,residential,productivity,gross_profit_per_labor_hour_usd,92,,"Level CFO Electrical Contractor Benchmarks (Level Index), 2025, https://www.levelcfo.com",1,low,false,2025,
electrical,residential,productivity,billable_utilization_pct,65,,"National Electrical Contractors Association (NECA) Benchmarking Data, https://www.necanet.org",2,high,false,,7
electrical,residential,search_interest,yoy_search_change_pct,19,,"Trade Economy Index triangulation: median of 1 independent source: vrid.ai, 2026, https://vrid.ai",1,med,true,2026,
electrical,commercial,bad_debt,bad_debt_write_off_pct,0.117,,"EMCOR Group, Inc. Form 10-K Annual Report for the Fiscal Year Ended December 31, 2025, filed February 20, 2026, URL: https://www.sec.gov/ix?doc=/Archives/edgar/data/105608/000010560826000009/eme-20251231.htm",1,low,false,2026,
electrical,commercial,bad_debt,collection_rate_pct,85.1,,"The Level Index Contractor Benchmarks (2024), corroborated by CFMA 2024 Construction Financial Benchmarker. https://levelcfo.com",1,low,false,2024,23
electrical,commercial,cash_cycle_detail,dso_days,59,,"Quanta Services, Inc. Form 10-K for the Fiscal Year Ended December 31, 2024, Item 7 (URL: https://www.sec.gov/ix?doc=/Archives/edgar/data/0001050915/000105091525000008/pwr-20241231.htm)",2,med,false,2024,
electrical,commercial,cash_cycle_detail,dpo_days,33,,"EMCOR Group, Inc. Form 10-K (FY2025) - https://www.sec.gov/edgar/searchedgar/companysearch",2,high,false,,8
electrical,commercial,cash_cycle_detail,cash_conversion_cycle_days,51.68,,"Trade Economy Index triangulation: median of 2 independent sources: EMCOR Group, Inc. Form 10-K (FY2025) - https://www.sec.gov/edgar/searchedgar/companysearch | Comfort Systems USA, Inc. FY2024 Form 10-K (https://www.sec.gov/edgar/searchedgar/companysearch)",2,low,true,,
electrical,commercial,cost_structure,labor_pct_of_revenue,31.7,,IBISWorld US Industry (NAICS) Report 23821: Electricians in the US (2021) - https://www.ibisworld.com; cross-checked against CFMA 2024 Construction Financial Benchmarker (Specialty Trades NAICS 238210) - https://www.cfma.org,3,med,false,2024,4
electrical,commercial,cost_structure,materials_pct_of_revenue,36.5,,IBISWorld US Industry (NAICS) Report 23821: Electricians in the US (2021) - https://www.ibisworld.com; cross-checked against CFMA 2024 Construction Financial Benchmarker (Specialty Trades NAICS 238210 Direct Costs) - https://www.cfma.org,2,med,false,2024,
electrical,commercial,cost_structure,sga_overhead_pct,9.7,,"EMCOR Group, Inc. 2024 Form 10-K, https://www.sec.gov",2,high,false,2024,
electrical,commercial,demand_drivers,installed_base_units,5918000,,"U.S. Energy Information Administration (EIA), Commercial Buildings Energy Consumption Survey (CBECS), 2018 (released 2022), https://www.eia.gov/consumption/commercial",1,high-primary,false,2022,
electrical,commercial,margins,gross_margin_pct,22.4,,"CFMA Construction Financial Benchmarker (2024), https://cfma.org; cross-checked against MYR Group Inc. Form 10-K (2023), https://www.sec.gov",3,med,false,2024,9
electrical,commercial,margins,operating_margin_pct,7.1,,"CFMA Construction Financial Benchmarker (2024), https://cfma.org; cross-checked against EMCOR Group, Inc. Form 10-K (2023), https://www.sec.gov",3,med,false,2024,14
electrical,commercial,productivity,revenue_per_employee_usd,257240.23,,"U.S. Census Bureau, 2022 Economic Census (NAICS 238210 - Electrical Contractors and Other Wiring Installation Contractors), https://www.census.gov/programs-surveys/economic-census.html",2,high,false,2022,
electrical,commercial,productivity,gross_profit_per_labor_hour_usd,101.5,,"Trade Economy Index triangulation: median of 1 independent source: Level CFO, Electrical Industry Benchmarks (2025), https://levelcfo.com/benchmarks/electrical",1,low,true,2025,
electrical,commercial,productivity,billable_utilization_pct,67.5,,"Trade Economy Index triangulation: median of 1 independent source: National Electrical Contractors Association (NECA), Financial Performance Report & Benchmarking Data, 2025, https://www.necanet.org",1,med,true,2025,
electrical,commercial,retainage_liens,typical_retainage_pct,10,,"Construction Financial Management Association (CFMA) Retainage Overview, 2026, https://www.cfma.org",1,med,false,2026,11
