trade,band,band_label,metric,value,source,source_access,confidence,basis
plumbing,1-5M,$1M to $5M annual revenue (small established contractor),collection_rate_pct,85.1,Level CFO 2026 Contractor Collection Rate Benchmarks (https://levelcfo.com),url,low,Median collection rate (cash collected vs billed) across trade and construction contractors
plumbing,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,57,CFMA Construction Financial Benchmarker,citation-text-only,low,Average Days Sales Outstanding for specialty trade contractors including plumbing
plumbing,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,30,YourExitValue 2026 Plumbing Industry Benchmarks (https://yourexitvalue.com),url,low,Target recurring service agreement revenue share for established plumbing contractors
plumbing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,22.4,CFMA 2025 Construction Financial Benchmarker Executive Summary (https://www.cfma.org),url,med,Specialty trade contractors gross profit margin from CFMA 2025 Financial Benchmarker (2024 fiscal year)
plumbing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
plumbing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,57,CFMA Construction Financial Benchmarker,citation-text-only,med,"Days sales outstanding (DSO) for trade contractors including plumbing, HVAC, and electrical"
plumbing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,35,CT Acquisitions 2026 Commercial Mechanical & Plumbing Study (https://www.ctacquisitions.com),url,med,Mid-market plumbing and mechanical contractor recurring service agreement revenue share
plumbing,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2025 https://cfma.org,url,low,Gross profit margin for Specialty Trade contractors (NAICS 238220 Plumbing/HVAC)
plumbing,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
plumbing,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,low,Average days sales outstanding (DSO) in accounts receivable for Specialty Trade contractors
electrical,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,38.5,IBISWorld / Lightning Path Partners 2026 https://lightningpathpartners.com/blog/electrical-company-profit-margins,url,med,Residential service electrical contractors in the $500K-$2M revenue tier
electrical,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
electrical,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,30,ClearReceivables 2026 https://clearreceivables.com/dso-benchmarks-by-industry,url,med,Target DSO for residential and small commercial electrical contractors
electrical,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Gross profit margin for Specialty Trade contractors (NAICS 238210/238220) in the under $10M revenue tier
electrical,1-5M,$1M to $5M annual revenue (small established contractor),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
electrical,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Average Days Sales Outstanding (DSO) for Specialty Trade contractors
electrical,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,20,Cascade Partners 2025 https://cascade-partners.com,url,low,Estimated baseline recurring maintenance and service agreement revenue share for small electrical contractors
electrical,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Gross profit margin for Specialty Trade contractors (NAICS 238210 Electrical Contractors)
electrical,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,med,"Median cash collected as a percentage of amounts billed, n=464 companies"
electrical,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,52,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Average Days Sales Outstanding (DSO) for specialty trade electrical contractors
electrical,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,14,National Electrical Contractors Association (NECA) 2024 https://www.necanet.org,url,med,Share of total revenue from commercial maintenance agreements and service contracts
electrical,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,21.8,"Construction Financial Management Association (CFMA), 2024, https://cfma.org/articles/cfma-s-2-24-construction-financial-benchmarker-executive-summary",url,high,Gross profit margin percentage for Best in Class Specialty Trade contractors
electrical,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,76,"National Electrical Contractors Association (NECA), 2023, https://www.ecmag.com",url,high,Average collection cycle (DSO) in days for electrical contractors in the >$20M revenue tier
electrical,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,25,"Cascade Partners, 2025, https://cascade-partners.com",url,med,Benchmark recurring service and maintenance agreement revenue share of total revenue
roofing,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,31.5,National Roofing Contractors Association 2025 https://www.nrca.net,url,high,Midpoint of median gross margin band (28%-35%) for small residential replacement roofing contractors
roofing,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,56.6,Construction Financial Management Association 2024 https://www.cfma.org,url,low,Average days sales outstanding across specialty trade contractors
roofing,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,10,BizMetricsHQ 2025 https://bizmetricshq.com,url,med,Midpoint of maintenance and service agreement revenue share (5%-15%) for owner-operated roofing contractors
roofing,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,28,"Construction Financial Management Association (CFMA) 2024 Construction Financial Benchmarker, https://cfma.org",url,med,Median gross profit margin for roofing specialty trade contractors
roofing,1-5M,$1M to $5M annual revenue (small established contractor),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
roofing,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,"Construction Financial Management Association (CFMA) 2024 Construction Financial Benchmarker, https://cfma.org",url,low,Average days sales outstanding across construction and specialty trade contractors
roofing,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,5,"BizMetricsHQ 2026 Roofing Contractor Financial Benchmarks, https://bizmetricshq.com",url,high,Share of total revenue from maintenance agreements and service contracts for $1M-$5M roofing contractors
roofing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
roofing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,55.2,CFMA Construction Financial Benchmarker (2025) https://cfma.org,url,low,Average days in accounts receivable (DSO) for Specialty Trade contractors
roofing,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,25,IBISWorld 2025 Roofing Contractors Industry Analysis via IL Roofing Institute (https://ilroofinginstitute.com),url,high,Average gross profit margin for commercial roofing contractor projects
roofing,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
roofing,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,CFMA 2024 Construction Financial Benchmarker via DocJoist (https://docjoist.com),url,med,Average days sales outstanding for specialty construction contractors
roofing,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,20,Auctus Capital 2026 Commercial Roofing Valuation Analysis (https://auctuscapitalinc.com),url,high,Share of total revenue from recurring maintenance and service agreements in commercial roofing platforms
glass-glazing,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,22.4,Construction Financial Management Association 2024 https://cfma.org,url,low,CFMA benchmark gross profit margin for Specialty Trade Contractors (NAICS 238)
glass-glazing,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,Level 2026 https://levelcfo.com,url,low,Median collection rate (cash collected as % of amounts billed) across surveyed contractors
glass-glazing,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,56.6,Construction Financial Management Association 2024 https://cfma.org,url,low,CFMA industry-wide average days sales outstanding for construction contractors
glass-glazing,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,17.5,CFMA / Siana Marketing 2026 https://sianamarketing.com,url,high,Midpoint of 15% to 20% gross profit margin range for small contractors under $5M annual revenue
glass-glazing,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,CFMA 2024 Construction Financial Benchmarker https://cfma.org,url,med,Average Days Sales Outstanding (DSO) for specialty trade construction contractors
glass-glazing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,22.4,"Construction Financial Management Association (CFMA) 2025, https://cfma.org/benchmarker",url,med,CFMA 2025 Construction Financial Benchmarker Specialty Trades segment average gross margin
glass-glazing,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,60,"Construction Financial Management Association (CFMA) 2024, https://cfma.org/benchmarker",url,med,CFMA specialty trade contractor average Days Sales Outstanding benchmark
glass-glazing,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,20,"Construction Financial Management Association (CFMA) 2024, https://cfma.org/articles/cfma-s-2-24-construction-financial-benchmarker-executive-summary",url,med,Average gross profit margin for Specialty Trade Contractors from CFMA Financial Benchmarker
glass-glazing,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
glass-glazing,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,54,"Construction Financial Management Association (CFMA) 2024, https://cfma.org",url,med,Average Days Sales Outstanding (DSO) for Specialty Trade Contractors from CFMA Financial Benchmarker
doors-access,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,30,CT Acquisitions 2026 https://ctacquisitions.com,url,low,Standard accounts receivable collection period for garage door service operations
doors-access,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,11,SDR Ventures 2024 https://ctacquisitions.com,url,low,Median planned maintenance revenue attach rate for garage door contractors
doors-access,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,CFMA 2024 https://cfma.org,url,low,Specialty Trade contractors gross profit margin industry-wide
doors-access,1-5M,$1M to $5M annual revenue (small established contractor),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
doors-access,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,CFMA 2024 https://cfma.org,url,low,Average days in accounts receivable / DSO for construction contractors
doors-access,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,15,CT Acquisitions 2026 https://ctacquisitions.com,url,high,Commercial overhead door service and maintenance contract revenue share for $5M door contractor
doors-access,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,22.4,Construction Financial Management Association 2024 https://cfma.org,url,med,Gross profit margin for Specialty Trade Contractors in CFMA 2024 Financial Benchmarker
doors-access,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
doors-access,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,56.6,Construction Financial Management Association 2024 https://cfma.org,url,med,Average Days Sales Outstanding in accounts receivable in CFMA 2024 Financial Benchmarker
doors-access,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,11,SDR Ventures 2024 https://ctacquisitions.com,url,high,Median recurring planned maintenance revenue share for door and access contractors
doors-access,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Gross profit margin percentage for Specialty Trade contractors in CFMA 2024 Financial Benchmarker
doors-access,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
doors-access,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,med,Average Days Sales Outstanding in accounts receivable for contractors in CFMA 2024 Financial Benchmarker
doors-access,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,11,SDR Ventures 2024 https://ctacquisitions.com,url,low,Median recurring planned maintenance contract revenue share for door and access system dealers
landscaping,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,40,"NALP 2025 Financial Benchmark Report, https://www.landscapeprofessionals.org",url,high,Gross profit as % of revenue for under $1M annual revenue landscaping contractors
landscaping,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,"Level CFO 2026 Contractor Benchmark Study, https://www.levelcfo.com",url,low,Median cash collected as % of total invoiced revenue across trade contractors
landscaping,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,56.6,"CFMA Construction Financial Benchmarker FY 2023, https://www.cfma.org",url,low,Days sales outstanding (DSO) benchmark for Specialty Trade contractors
landscaping,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,75,"Lawn & Landscape 2025 Landscape Industry Report, https://www.lawnandlandscape.com",url,med,Recurring maintenance revenue share for maintenance-focused landscape operators
landscaping,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,CFMA 2025 https://www.cfma.org,url,low,Gross profit margin for Specialty Trade contractors across all revenue tiers
landscaping,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,CFMA 2024 https://www.cfma.org,url,low,Average days sales outstanding (DSO) in accounts receivable across construction contractors
landscaping,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,55,CT Acquisitions 2026 https://www.ctacquisitions.com,url,med,Share of recurring maintenance contract revenue for $1M to $5M landscaping operators
landscaping,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,47.5,National Association of Landscape Professionals 2025 https://www.landscapeprofessionals.org,url,high,Median gross profit margin benchmark range (45-50%) for landscape contractors (median respondent revenue $5.2M)
landscaping,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,36.5,National Association of Landscape Professionals 2025 https://www.landscapeprofessionals.org,url,low,Average Days Sales Outstanding range (28-45 days) across landscaping contractors
landscaping,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,60,National Association of Landscape Professionals 2025 https://www.landscapeprofessionals.org,url,low,Benchmark share of annual revenue derived from recurring maintenance service contracts
landscaping,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,47.5,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,low,CFMA 2024 Benchmarker gross profit margin range (40-55%) for Landscaping/Hardscaping
landscaping,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
landscaping,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,Construction Financial Management Association (CFMA) 2024 https://cfma.org,url,low,CFMA 2024 Benchmarker average Days Sales Outstanding for specialty trade contractors
landscaping,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,60,National Association of Landscape Professionals (NALP) 2025 https://www.landscapeprofessionals.org,url,med,NALP 2025 benchmark for recurring maintenance revenue share in scaled commercial landscape operations
commercial-cleaning,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,50,BizMetrics HQ 2026,citation-text-only,high,Gross profit margin (midpoint of 45-55% range) for owner-operated cleaning companies in the $200K-$800K revenue band
commercial-cleaning,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,92,Ledger & Lane 2026 https://ledgerandlane.co/case-studies,url,med,Average cash collection rate on billed receivables within 30 days for small commercial cleaning contractors
commercial-cleaning,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,52.5,Level CFO 2026 https://levelcfo.com/benchmarks/cleaning,url,med,Days sales outstanding (midpoint of 45-60 day range) for small-to-midsize commercial janitorial contractors
commercial-cleaning,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,75,CentsIQ 2024,citation-text-only,med,Contractual recurring service-agreement revenue share of total revenue for small commercial cleaning operations
commercial-cleaning,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,22.4,"CFMA 2025 Construction Financial Benchmarker, https://cfma.org",url,low,Specialty Trade contractors overall gross profit margin (FY2024)
commercial-cleaning,1-5M,$1M to $5M annual revenue (small established contractor),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
commercial-cleaning,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,"CFMA 2024 Construction Financial Benchmarker, https://cfma.org",url,low,Days sales outstanding (days in accounts receivable) for Specialty Trade contractors
commercial-cleaning,1-5M,$1M to $5M annual revenue (small established contractor),recurring_rev_pct,80,"BSCAI / CT Acquisitions 2026 Commercial Janitorial Report, https://ctacquisitions.com",url,high,Share of total revenue from recurring monthly service agreements for sub-$2M EBITDA / $1M-$5M revenue commercial janitorial contractors
commercial-cleaning,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,35,BSCAI (Building Service Contractors Association International) 2025 https://www.bscai.org,url,low,Industry-wide median gross profit margin for commercial janitorial contractors
commercial-cleaning,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,52.5,Level CFO & BSCAI 2026 https://levelcfo.com/benchmarks/cleaning,url,low,Industry-wide average days sales outstanding for SMB commercial cleaning contractors
commercial-cleaning,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",recurring_rev_pct,85,CT Acquisitions Commercial Cleaning Report 2026 https://ctacquisitions.com,url,low,Industry-wide benchmark share of revenue derived from recurring commercial contracts
commercial-cleaning,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,CFMA 2025 https://cfma.org,url,med,Gross profit margin for Specialty Trade contractors in 2025 Financial Benchmarker
commercial-cleaning,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,83,CFMA 2025 https://cfma.org,url,med,Average days sales outstanding for construction and specialty trade contractors
commercial-cleaning,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,85,CT Acquisitions 2026 https://ctacquisitions.com,url,med,Contracted recurring commercial revenue share for large/PE-platform commercial janitorial contractors
painting,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,32.5,IBISWorld 2026 https://www.ibisworld.com/united-states/market-research-reports/painting-wall-covering-contractors-industry,url,high,Midpoint of 25%-40% gross margin range for residential painting contractors under $1M revenue
painting,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
painting,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,15,IBISWorld 2026 https://www.ibisworld.com/united-states/market-research-reports/painting-wall-covering-contractors-industry,url,high,Average Days Sales Outstanding for residential painting contractors in the sub-$1M revenue tier
painting,0-1M,under $1M annual revenue (owner-operator / very small shop),recurring_rev_pct,5,CT Acquisitions & Painting Contractors Association 2026 https://ctacquisitions.com/painting-business-valuation,url,high,Contracted recurring and maintenance agreement revenue share for sub-$1M owner-operator painting shops
painting,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,17.5,CFMA 2024 https://cfma.org/articles/cfma-s-2-24-construction-financial-benchmarker-executive-summary,url,high,Average gross profit margin range (15%-20%) for small construction contractors in the under $5M annual revenue tier
painting,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,CFMA 2024 https://cfma.org/articles/cfma-s-2-24-construction-financial-benchmarker-executive-summary,url,low,Industry-wide average days in accounts receivable (DSO) across construction and specialty trade respondents
painting,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,22.4,CFMA 2025 Construction Financial Benchmarker (https://www.cfma.org),url,low,Gross profit margin for Specialty Trade contractors (FY 2024)
painting,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,56.6,CFMA 2024 Construction Financial Benchmarker (https://www.cfma.org),url,low,Average days sales outstanding (accounts receivable aging) across construction contractors
painting,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,21.8,CFMA 2024,citation-text-only,low,Composite gross profit margin for Best in Class construction and specialty trade contractors
painting,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,CFMA 2024,citation-text-only,low,Industry-wide average days in accounts receivable (DSO) across responding contractors
painting,20M+,over $20M annual revenue (large / regional / PE-backed),recurring_rev_pct,30,Painting Contractors Association 2026,citation-text-only,low,Benchmark share of recurring HOA and commercial property management contract revenue for scaled painting platforms
concrete-masonry,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,16.5,Construction Financial Management Association (CFMA) 2024 https://www.cfma.org,url,med,Gross profit margin benchmark range (15%-18%) for concrete and masonry contractors
concrete-masonry,0-1M,under $1M annual revenue (owner-operator / very small shop),dso_days,45,Construction Financial Management Association (CFMA) 2024 https://www.cfma.org,url,med,Trade accounts receivable days sales outstanding (excluding retainage) for specialty trade contractors
concrete-masonry,1-5M,$1M to $5M annual revenue (small established contractor),gross_margin_pct,21.5,Construction CFO 2026 (https://constructioncfo.net),url,high,Commercial masonry subcontractors in the $1M to $5M revenue band (21% to 22% gross margin range)
concrete-masonry,1-5M,$1M to $5M annual revenue (small established contractor),dso_days,56.6,CFMA 2024 (https://cfma.org),url,low,Specialty trade contractors average Days Sales Outstanding (DSO) industry-wide
concrete-masonry,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",gross_margin_pct,20,IBISWorld 2026 https://sianamarketing.com,url,med,Medium contractors ($5M to $25M revenue) gross profit margin range midpoint
concrete-masonry,5-20M,"$5M to $20M annual revenue (mid-market, multi-crew)",dso_days,55.2,CFMA 2025 https://cfma.org,url,low,Industry-wide average days in accounts receivable
concrete-masonry,20M+,over $20M annual revenue (large / regional / PE-backed),gross_margin_pct,22.4,"CFMA (Construction Financial Management Association), 2025, https://cfma.org",url,low,Gross profit margin for Specialty Trade contractors overall
concrete-masonry,20M+,over $20M annual revenue (large / regional / PE-backed),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
concrete-masonry,20M+,over $20M annual revenue (large / regional / PE-backed),dso_days,56.6,"CFMA (Construction Financial Management Association), 2024, https://cfma.org",url,low,Average Days Sales Outstanding (DSO) for Specialty Trade contractors
fire-life-safety,0-1M,under $1M annual revenue (owner-operator / very small shop),gross_margin_pct,16,Construction Financial Management Association (CFMA) 2024,citation-text-only,low,Average gross profit margin for Specialty Trade Contractors overall
fire-life-safety,0-1M,under $1M annual revenue (owner-operator / very small shop),collection_rate_pct,85.1,"Level CFO analysis of 464 contractors, https://levelcfo.com/benchmarks/contractor",url,low,"Median cash collected as a percentage of amounts billed, n=464 companies"
