trade,state_name,state,median_hourly_wage_usd,wage_differential_vs_national_pct,median_wage_source,license_regime,license_source
hvac,Idaho,ID,22.84,-17.1,"U.S. Bureau of Labor Statistics (BLS) May 2023 OEWS, https://www.bls.gov/oes/current/oes_id.htm","Statewide licensing is required in Idaho and governed uniformly at the state level by the Idaho Division of Occupational and Professional Licenses (DOPL) HVAC Board. License tiers include HVAC Apprentice, HVAC Journeyman, HVAC Specialty Journeyman, HVAC Specialty Contractor, and HVAC Contractor.","Idaho Division of Occupational and Professional Licenses (DOPL), 2024, https://dopl.idaho.gov"
hvac,Illinois,IL,31.21,13.28,"U.S. Bureau of Labor Statistics (BLS), May 2023 State Occupational Employment and Wage Estimates: Illinois, https://www.bls.gov/oes/current/oes_il.htm","Illinois does not offer or require a statewide HVAC contractor or technician license; trade licensing and contractor registration are regulated at the local municipal and county level (e.g., City of Chicago), while EPA Section 608 certification is required for refrigerant handling.","Illinois Department of Financial and Professional Regulation (IDFPR), 2026, https://www.idfpr.illinois.gov"
hvac,Indiana,IN,28.54,3.59,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_in.htm","Indiana does not issue or mandate a statewide license for HVAC contractors or technicians; regulatory authority is deferred to local municipalities (e.g., Indianapolis/Marion County, Fort Wayne, Muncie). License tiers are defined locally where required; for instance, Indianapolis offers Unrestricted Air Conditioning Class A, Restricted Air Conditioning Class B, Restricted Air Conditioning Class D, Refrigeration, and High-Pressure Steam licenses.","Indiana Professional Licensing Agency (IPLA), 2026, https://www.in.gov/pla/ and City of Indianapolis Department of Business and Neighborhood Services, 2023, https://www.indy.gov/agency/department-of-business-and-neighborhood-services"
hvac,Iowa,IA,28.37,2.98,"BLS state OEWS, May 2023, https://www.bls.gov/oes/current/oes_ia.htm","Statewide licensing is required in Iowa through the Department of Inspections, Appeals, and Licensing (DIAL) Plumbing and Mechanical Systems Board (PMSB). Tiers include Apprentice, Service Technician HVAC Specialty, Journeyperson, Master, and Contractor.","Iowa Department of Inspections, Appeals, and Licensing (DIAL) Plumbing and Mechanical Systems Board, 2026"
hvac,Kansas,KS,24.87,-9.73,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ks.htm","Kansas does not issue or require a statewide HVAC contractor or trade license. Licensing and permitting are decentralized and administered at the municipal or county level pursuant to K.S.A. 12-1540 et seq. Local jurisdictions (such as Wichita/Sedgwick County, Topeka, and Kansas City) establish their own licensing requirements, which generally follow a four-tier structure: Apprentice, Journeyman Mechanical, Master Mechanical, and Mechanical Contractor.","Kansas Office of Revisor of Statutes, K.S.A. 12-1542 (Rules and regulations relating to licensure and examination of HVAC contractors and mechanics), 2023, https://www.ksrevisor.gov/statutes/chapters/ch12/012_015_0042.html"
hvac,Kentucky,KY,24.3,-11.8,"U.S. Bureau of Labor Statistics OEWS, May 2023, https://www.bls.gov/oes/current/oes_ky.htm","Statewide licensing is required in Kentucky for HVAC professionals, administered by the Kentucky Department of Housing, Buildings and Construction (DHBC) - Division of HVAC. License tiers consist of Apprentice (registration required), Journeyman HVAC Mechanic, and Master HVAC Contractor.","Kentucky Department of Housing, Buildings and Construction (815 KAR 8:010), 2024, https://dhbc.ky.gov"
hvac,Louisiana,LA,25.8,-6.35,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_la.htm","State-level licensing is required in Louisiana through the Louisiana State Licensing Board for Contractors (LSLBC). A state Mechanical Contractor License is required for mechanical/HVAC projects valued over $10,000 (labor and materials) for commercial work or over $50,000 for residential work. Tiers/classifications include Mechanical Work with subclassification categories such as Heating, Air Conditioning, Ventilation, Duct Work and Refrigeration.","Louisiana State Licensing Board for Contractors (LSLBC), 2024, https://www.lslbc.gov"
hvac,Maine,ME,27.48,-0.25,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_me.htm","State-level trade licensing is required in Maine for heating and fuel HVAC technicians, administered by the Maine Fuel Board within the Office of Professional and Occupational Regulation (OPOR), Department of Professional and Financial Regulation (DPFR). License tiers include Apprentice Oil Burner and/or Solid Fuel Technician, Journeyman Oil Burner and/or Solid Fuel Technician, Master Oil Burner and/or Solid Fuel Technician, Propane and Natural Gas Technicians/Helpers, and Limited specialty licenses. Handling refrigerants also requires federal EPA Section 608 certification.","Maine Office of Professional and Occupational Regulation (OPOR) - Maine Fuel Board, 2024"
hvac,Maryland,MD,30.09,9.22,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_md.htm","A state-level license is required in Maryland to perform HVACR services, issued by the Maryland Board of HVACR Contractors under the Maryland Department of Labor. Local jurisdictions issue local permits for work but do not issue separate local HVAC trade licenses. License tiers include Apprentice, Journeyman, Restricted Journeyman, Limited Contractor, Master Restricted, and Master Contractor.","Maryland Board of Heating, Ventilation, Air Conditioning and Refrigeration Contractors, Maryland Department of Labor, 2024, https://www.labor.maryland.gov/license/hvacr"
hvac,Massachusetts,MA,35.43,28.6,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ma.htm","Massachusetts requires state-level licensing for specific component trades of HVAC rather than a single unified statewide HVAC contractor license. Work on refrigeration systems with 10 tons or greater capacity requires a Refrigeration license issued by the Office of Public Safety and Inspections (Bureau of Pipefitters, Refrigeration Technicians, and Sprinkler Fitters) with Apprentice, Journeyman Refrigeration Technician, and Master Refrigeration Contractor tiers. Ductwork and HVAC sheet metal work require a Sheet Metal Worker license issued by the Board of Examiners of Sheet Metal Workers (Apprentice, Journeyperson, and Master tiers). Piping for gas-fired equipment requires a Gas Fitter license from the Board of State Examiners of Plumbers and Gas Fitters. Permits are issued locally by city and town building departments.","Massachusetts Division of Occupational Licensure (DOL), Office of Public Safety and Inspections, 2024, https://www.mass.gov/orgs/bureau-of-pipefitters-refrigeration-technicians-and-sprinkler-fitters"
hvac,Michigan,MI,24.55,-10.89,"U.S. Bureau of Labor Statistics OEWS, May 2023, https://www.bls.gov/oes/current/oes_mi.htm","State-level license required. Michigan regulates HVAC/R work through a statewide Mechanical Contractor License issued under Article 8 of the Skilled Trades Regulation Act (Public Act 407 of 2016, MCL 339.5801 et seq.) by the Michigan Department of Licensing and Regulatory Affairs (LARA), Bureau of Construction Codes. Local municipalities are statutorily prohibited from maintaining local licensing requirements. License categories include Mechanical Contractor (with work classifications for HVAC Equipment, Ductwork, Unlimited/Limited Heating Service, Unlimited/Limited Refrigeration & Air Conditioning Service, Hydronic Heating & Cooling, Fire Suppression, and Specialty) and Mechanic Trainee registration.","Michigan Department of Licensing and Regulatory Affairs (LARA) Bureau of Construction Codes, 2024"
hvac,Minnesota,MN,31.64,14.85,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_mn.htm","Minnesota does not require a statewide HVAC/mechanical contractor or individual technician license. Instead, business entities contracting to perform gas, heating, ventilation, cooling, air conditioning, fuel burning, or refrigeration work must register with the state and post a mechanical bond. Local municipalities (such as cities) may impose local contractor licensing, competency cards ('comp cards'), or permitting requirements.","Minnesota Department of Labor and Industry (DLI), Mechanical Contractor Bond Requirements, 2024"
hvac,Mississippi,MS,22.09,-19.82,"U.S. Bureau of Labor Statistics, May 2023 OEWS State Occupational Employment and Wage Estimates, https://www.bls.gov/oes/current/oes_ms.htm","State-level licensure is required in Mississippi by the Mississippi State Board of Contractors (MSBOC) for HVAC work meeting statutory project value thresholds. Commercial HVAC work valued at $50,000 or more (or specialty subcontracts over $10,000) requires a commercial contractor license with a Mechanical or HVAC classification. Residential HVAC remodeling work valued at $10,000 or more, or new residential construction over $50,000, requires a state residential contractor or subcontractor license. Projects below these thresholds are governed by local municipal and county licensing and permitting rules.","Mississippi State Board of Contractors (MSBOC), 2024, https://www.msboc.us"
hvac,Missouri,MO,27.82,0.98,"U.S. Bureau of Labor Statistics (BLS) State Occupational Employment and Wage Estimates (OEWS), May 2023, https://www.bls.gov/oes/current/oes499021.htm","Missouri does not require or issue a statewide license for HVAC contractors or technicians. Licensing is decentralized and regulated at the local city or county level (such as Kansas City or St. Louis County), in addition to federal EPA Section 608 certification for handling refrigerants.","Missouri Division of Professional Registration, 2024, https://pr.mo.gov"
hvac,Montana,MT,24.95,-9.44,"U.S. Bureau of Labor Statistics (BLS) OEWS, May 2023 State Occupational Employment and Wage Estimates - Montana, published April 2024, https://www.bls.gov/oes/current/oes_mt.htm","Montana does not mandate a statewide trade license or exam for individual HVAC technicians. However, HVAC contractor businesses must register with the Montana Department of Labor and Industry (DLI) under either Construction Contractor Registration (CCR, for businesses with employees) or an Independent Contractor Exemption Certificate (ICEC, for sole proprietors opting out of workers' compensation). Local licensing, trade exams, and permits may be required at the municipal level (e.g., Billings, Missoula, Great Falls).",
hvac,Nebraska,NE,26.57,-3.56,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ne.htm","Nebraska does not issue or require a statewide HVAC trade license. Instead, the Nebraska Department of Labor (NDOL) requires contractor registration under the Nebraska Contractor Registration Act for businesses performing work on real property. Trade-specific HVAC/mechanical licensing, examinations, and credential tiers (master, journeyman) are regulated at the local municipal level (e.g., City of Omaha, City of Lincoln). EPA Section 608 certification is required federally for handling refrigerants.","Nebraska Department of Labor, Contractor Registration, 2024"
hvac,Nevada,NV,28.19,2.32,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/2023/may/oes_nv.htm","State-level contractor license is required in Nevada for HVAC & Refrigeration work valued at $1,000 or more in labor and materials. Licenses are issued at the state level by the Nevada State Contractors Board (NSCB) under NRS Chapter 624. The primary trade license is Specialty Classification C-21 (Refrigeration and Air Conditioning), which encompasses seven subclassifications: C-21a (Refrigeration), C-21b (Air Conditioning), C-21c (Sheet Metal), C-21d (Maintenance), C-21e (Solar Air Conditioning), C-21f (Chilled and Hot Water Systems), and C-21g (Industrial Piping). Local jurisdictions require general business permits but do not issue separate trade licenses.","Nevada State Contractors Board (NSCB) / Nevada Administrative Code § 624.380, 2023, https://www.leg.state.nv.us/NAC/NAC-624.html#NAC624Sec380"
hvac,New Hampshire,NH,29.42,6.79,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/2023/may/oes_nh.htm and https://www.bls.gov/oes/2023/may/oes499021.htm","New Hampshire requires state-level licensing for fuel gas fitting and mechanical business entities through the Board of Mechanical Safety and Licensing under the Office of Professional Licensure and Certification (OPLC) (RSA 153:27-38). Personal license tiers for fuel gas include Trainee, Fuel Gas Piping Installer, Fuel Gas Installation Technician, and Fuel Gas Service Technician, along with Mechanical Business Entity licensure. General HVAC work that does not involve fuel gas fitting is not licensed at the state level and is governed by local municipal rules, though a voluntary state certification exists for oil heating technicians.","New Hampshire Office of Professional Licensure and Certification (OPLC), Board of Mechanical Safety and Licensing, 2024, https://www.oplc.nh.gov/mechanical-safety-and-licensing-board"
hvac,New Jersey,NJ,29.78,8.09,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_nj.htm","A state-level license is required to engage in HVACR contracting in New Jersey. The primary contracting credential is the Master HVACR Contractor License issued by the State Board of Examiners of Heating, Ventilating, Air Conditioning and Refrigeration (HVACR) Contractors under the New Jersey Division of Consumer Affairs. Municipalities do not issue separate trade licenses, though local permits are required for specific jobs.","New Jersey Division of Consumer Affairs, State Board of Examiners of Heating, Ventilating, Air Conditioning and Refrigeration (HVACR) Contractors, 2024, https://www.njconsumeraffairs.gov/hvacr"
hvac,New Mexico,NM,22.24,-19.27,"U.S. Bureau of Labor Statistics (BLS) OEWS, May 2023, https://www.bls.gov/oes/current/oes_nm.htm","State-level contractor licensing is mandatory in New Mexico, governed by the Regulation and Licensing Department (RLD) Construction Industries Division (CID) under the Construction Industries Licensing Act (NMSA 1978, Chapter 60, Article 13). Local municipal licenses do not override state certification. Licensing tiers include individual Journeyman Certificates of Competence (requiring 2 years / 4,000 hours experience) and Contractor Licenses (requiring a Qualifying Party with at least 4 years / 8,000 hours experience). Contractor trade classifications include MM-3 (Heating, Ventilation, and Air Conditioning), MM-2 (Natural Gas Fitting), MM-4 (Heating, Cooling, and Process Piping), and MM-98 (Mechanical Contractor, covering all MM categories plus plumbing).","New Mexico Regulation and Licensing Department (RLD) Construction Industries Division (CID), 2024, https://www.rld.nm.gov/boards-and-commissions/individual-boards-and-commissions/construction-industries"
hvac,New York,NY,30.94,12.3,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023 (published April 2024), https://www.bls.gov/oes/current/oes_ny.htm","New York State does not issue a universal statewide HVAC contractor license. Licensing authority is delegated to individual cities and counties (e.g., NYC Department of Buildings, Nassau County, Suffolk County, Westchester County, Buffalo). EPA Section 608 certification is mandated federally for refrigerant handling.","New York Department of State (DOS) & NYC Department of Buildings (DOB), 2024, https://www.nyc.gov/site/buildings/index.page"
hvac,North Carolina,NC,24.33,-11.69,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates, North Carolina (April 2024), https://www.bls.gov/oes/current/oes_nc.htm","State-level licensure is mandatory in North Carolina. Heating and HVAC contracting is licensed state-wide by the North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors under N.C.G.S. Chapter 87, Article 2, with license classifications including Heating Group 1 (H1 - unlimited), Heating Group 2 (H2 - commercial), Heating Group 3 (H3 - residential single-family), and technician sublicenses. Refrigeration contracting is licensed by a separate state agency, the North Carolina State Board of Refrigeration Contractors, under N.C.G.S. § 87-52.","North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors and NC State Board of Refrigeration Contractors (2024), https://nclicensing.org and https://refrigerationboard.org"
hvac,North Dakota,ND,30.3,9.98,"U.S. Bureau of Labor Statistics, Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_nd.htm","North Dakota does not issue a specific statewide HVAC trade license. However, any contractor undertaking HVAC installation or repair projects valued at more than $4,000 must obtain a State Contractor's License from the North Dakota Secretary of State. Licenses are categorized into four monetary tiers: Class A (projects over $500,000), Class B (up to $500,000), Class C (up to $300,000), and Class D (up to $100,000). Individual HVAC technician licensing and trade permits are regulated at the municipal level by individual cities (e.g., Fargo, Bismarck, Minot, Grand Forks).","North Dakota Secretary of State, Contractor Licensing Division (N.D.C.C. Chapter 43-07), 2024"
hvac,Ohio,OH,27.39,-0.58,"U.S. Bureau of Labor Statistics (BLS) May 2023 State Occupational Employment and Wage Estimates - Ohio ($27.39) vs. National ($27.55), https://www.bls.gov/oes/current/oes_oh.htm and https://www.bls.gov/oes/current/oes499021.htm","State-level contractor licensing is required for commercial HVAC and Refrigeration work in Ohio through the Ohio Construction Industry Licensing Board (OCILB), operating under Ohio Revised Code Chapter 4740. OCILB issues state contractor licenses for specific categories including Heating, Ventilating, and Air Conditioning (HVAC) Contractor and Refrigeration Contractor. Residential HVAC work is regulated by local municipal building departments, though many cities require an active OCILB state license for local registration and permit issuance.","Ohio Department of Commerce, Ohio Construction Industry Licensing Board (OCILB) (2024), https://com.ohio.gov/divisions-and-programs/industrial-compliance/boards/ohio-construction-industry-licensing-board"
hvac,Oklahoma,OK,23.45,-14.88,"U.S. Bureau of Labor Statistics, May 2023 OEWS, https://www.bls.gov/oes/2023/may/oes_ok.htm","A state-level license is required to perform mechanical and HVAC/R work in Oklahoma under the Mechanical Licensing Act (59 O.S. § 1850.1 et seq.), enforced by the Oklahoma Construction Industries Board (CIB). Local municipalities require registration but accept the state trade license. Licensing tiers comprise Apprentice, Journeyman, and Contractor, with specific category classifications such as HVAC/R Limited, HVAC/R Unlimited, Refrigeration, Natural Gas, Process Piping, and Sheet Metal.","Oklahoma Construction Industries Board, 2024"
hvac,Oregon,OR,29.73,7.91,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates - Oregon and National Estimates for SOC 49-9021 (2024), https://www.bls.gov/oes/current/oes_or.htm and https://www.bls.gov/oes/current/oes499021.htm","State-level licensing is required in Oregon. HVAC and refrigeration contractors must be licensed through the Oregon Construction Contractors Board (CCB) rather than local municipalities. Classifications and endorsements are divided into Residential (General Contractor, Specialty Contractor, Limited Contractor) and Commercial (Level 1 General/Specialty and Level 2 General/Specialty). Tradespeople performing specific electrical or mechanical connections may also require specialized trade certifications through the Oregon Building Codes Division (BCD), and technicians handling refrigerants must hold EPA Section 608 certification.","Oregon Construction Contractors Board (CCB) (2024), https://www.oregon.gov/ccb/Pages/index.aspx"
hvac,Pennsylvania,PA,28,1.63,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023 (published April 2024), https://www.bls.gov/oes/current/oes_pa.htm","Pennsylvania does not mandate or issue a statewide HVAC trade license for technicians or contractors. HVAC trade licensing and permitting are regulated at the local municipal level (e.g., Philadelphia, Pittsburgh). At the state level, under the Home Improvement Consumer Protection Act (HICPA), any contractor performing residential home improvement work (including HVAC) exceeding $5,000 annually must register as a Home Improvement Contractor with the Pennsylvania Office of Attorney General. Additionally, federal EPA Section 608 certification is required for technicians handling refrigerants.","Pennsylvania Office of Attorney General, Home Improvement Consumer Protection Act (HICPA), 2024"
hvac,Rhode Island,RI,29.93,8.64,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_ri.htm","State-level licensing is required in Rhode Island. Individual tradespeople are licensed through the Rhode Island Department of Labor and Training (RIDLT) Division of Professional Regulation under R.I. Gen. Laws § 28-27. Tiers exist across three mechanical trade categories (Refrigeration/Air Conditioning, Pipefitter, and Sheet Metal), with license levels including Apprentice, Journeyperson (Class I unlimited and Class II limited), Master Contractor (Class I and Class II), and Master Mechanical Contractor. In addition, HVAC contracting business entities must register with the Rhode Island Contractors' Registration and Licensing Board (RICRLB).","Rhode Island Department of Labor and Training (RIDLT) Division of Professional Regulation / Rhode Island General Laws Chapter 28-27, 2024, https://dlt.ri.gov"
hvac,South Carolina,SC,24,-12.89,"U.S. Bureau of Labor Statistics, May 2023 State Occupational Employment and Wage Estimates: South Carolina, 2024, https://www.bls.gov/oes/current/oes_sc.htm","State-level licensing is required in South Carolina. HVAC trade work is regulated by the South Carolina Department of Labor, Licensing and Regulation (LLR). Residential HVAC installations and repairs exceeding $200 are regulated by the South Carolina Residential Builders Commission under the Residential Specialty Contractor (HVAC) license. Commercial HVAC work exceeding $10,000 is regulated by the South Carolina Contractor's Licensing Board under the Mechanical Contractor license (HVAC classification), structured into 5 tier groups based on project limits: Group 1 (up to $35,000), Group 2 (up to $100,000), Group 3 (up to $200,000), Group 4 (up to $400,000), and Group 5 (unlimited capacity).","South Carolina Department of Labor, Licensing and Regulation (LLR) Contractor's Licensing Board and Residential Builders Commission, 2024, https://llr.sc.gov"
hvac,South Dakota,SD,26.2,-4.9,"U.S. Bureau of Labor Statistics (BLS) Occupational Employment and Wage Statistics (OEWS), May 2023, https://www.bls.gov/oes/current/oes_sd.htm","South Dakota does not require a state-level HVAC contractor or technician license. Licensing and mechanical contractor registrations are governed locally at the municipal or county level (e.g., Sioux Falls and Rapid City). State requirements for contractors doing installation work are limited to obtaining a South Dakota Contractor's Excise Tax License from the Department of Revenue, and technicians handling refrigerants must hold federal EPA Section 608 certification.","South Dakota Department of Revenue / South Dakota Department of Labor and Regulation, 2024, https://dor.sd.gov/businesses/taxes/contractors-excise-tax"
