ticker,company_name,trades,currency,price,market_cap_billions,revenue_billions,return_6m_pct,return_1y_pct,return_3y_pct,return_5y_pct,market_snapshot_date,fundamentals_period,trade_relevance,market_cap_source,market_cap_source_access
AWI,"Armstrong World Industries, Inc.",painting,USD,157.28,6.64,1.65,-9.3,-19.7,105.4,51.3,2026-07-23,TTM Q1 2026,"Manufactures and supplies ceiling systems, specialty wall solutions, and architectural components for interior systems installers, drywall contractors, carpenters, and commercial construction trades.",Stock Analysis 2026 https://stockanalysis.com/stocks/awi,url
BECN,"Beacon Roofing Supply, Inc.",roofing,,,7.72,9.76,,,,,2026-07-23,FY 2024,"Wholesale distribution of residential and non-residential roofing materials, waterproofing, siding, insulation, and exterior building supplies for roofing and exterior construction trades",Yahoo Finance 2026,citation-text-only
BLD,TopBuild Corp.,roofing,,,9.94,5.62,,,,,2026-07-23,TTM (Q1 2026),"Insulation installation, commercial roofing, and specialty building products distribution","Stock Analysis, 2026, https://stockanalysis.com/stocks/bld/statistics",url
BLDR,"Builders FirstSource, Inc.",roofing,USD,71.03,7.99,14.82,-31.9,-48.8,-51,33.3,2026-07-23,TTM,"Supplies building materials, prefabricated components, framing solutions, and engineered wood for residential carpentry, framing, roofing, and general construction trades.",Stock Analysis 2026 https://stockanalysis.com/stocks/bldr/statistics,url
BV,"BrightView Holdings, Inc.",landscaping,USD,14.29,1.33,2.73,3.6,-0.8,72.6,-6.8,2026-07-23,"Q2 FY2026 (TTM ended March 31, 2026)","Commercial landscaping, grounds maintenance, snow & ice removal, tree care, irrigation, and landscape architecture & development",StockAnalysis 2026 https://stockanalysis.com/stocks/bv/market-cap,url
CARR,Carrier Global Corporation,hvac,USD,68.1,57.59,21.87,5.7,4.4,18.5,18.2,2026-07-23,TTM Q1 2026,"HVAC (heating, ventilation, and air conditioning), heat pumps, and refrigeration systems servicing commercial and residential mechanical contractors, HVAC technicians, and refrigeration mechanics",stockanalysis.com 2026 https://stockanalysis.com/stocks/carr/statistics,url
CLH,"Clean Harbors, Inc.",restoration,USD,306.27,16.41,6.06,4.5,26.4,80.9,198.5,2026-07-23,TTM,"Hazardous waste management, industrial cleaning, solvent re-refining, and environmental maintenance services",Stock Analysis 2026 https://stockanalysis.com/stocks/clh,url
CNM,"Core & Main, Inc.",plumbing,USD,43.75,8.75,7.65,-19.2,-32.4,33.2,59.5,2026-07-23,TTM Q1 FY2026,"Distribution of water, wastewater, storm drainage, and fire protection products and related supplies for municipal, plumbing, pipefitting, and utility contractors",StockAnalysis 2026 https://stockanalysis.com/stocks/cnm,url
CSL,Carlisle Companies Incorporated,roofing,USD,327.78,13.94,4.98,-17,-15.1,24.6,55.5,2026-07-23,TTM,"Manufactures single-ply roofing systems, waterproof membranes, building envelope solutions, and insulation products used by skilled roofing and weatherproofing contractors",Stock Analysis 2026 https://stockanalysis.com/stocks/csl/statistics,url
DY,"Dycom Industries, Inc.",low-voltage-security|electrical,USD,434.15,12.88,6.25,3.4,72,334.5,476.3,2026-07-23,"TTM (Q1 FY2027 ended May 2, 2026)","Specialty contracting services for telecommunications infrastructure, digital infrastructure, fiber optics, and utility systems",stockanalysis.com 2026 https://stockanalysis.com/stocks/dy/statistics,url
EME,"EMCOR Group, Inc.",hvac|electrical,USD,755.15,33.06,17.75,4.2,21.8,236.7,521.5,2026-07-23,TTM Q1 2026,"Electrical construction, mechanical construction, HVAC, plumbing, fire protection, and facilities services",StockAnalysis 2026 https://stockanalysis.com/stocks/eme,url
EXP,Eagle Materials Inc.,concrete-masonry,USD,203.37,6.38,2.31,-9.1,-11.9,7.4,29.7,2026-07-23,FY2026,"Manufactures and supplies essential heavy construction and light building materials, including Portland cement, ready-mix concrete, aggregates, and gypsum wallboard, serving masonry, drywall, concrete/paving, and building construction trades.","StockAnalysis, 2026, https://stockanalysis.com/stocks/exp",url
FAST,Fastenal Company,electrical|hvac,USD,45.33,52.48,8.75,-1.5,-8.7,57.5,62.3,2026-07-23,TTM Q2 2026,"Wholesale distributor of industrial and construction supplies, offering fasteners, safety equipment, tools, electrical, plumbing, HVAC, welding, and MRO products to skilled trades and manufacturing facilities","stockanalysis.com, 2026, https://stockanalysis.com/stocks/fast",url
FELE,"Franklin Electric Co., Inc.",plumbing,USD,104.67,4.76,2.18,5.1,7,8.2,23.2,2026-07-23,TTM Q1 2026,"Manufactures and distributes water and fuel pumping systems, motors, drives, electronic controls, and equipment for plumbing, groundwater, wastewater, and fueling contractors.",StockAnalysis 2026 https://stockanalysis.com/stocks/fele/statistics,url
FIX,"Comfort Systems USA, Inc.",hvac,USD,1791.06,58.83,10.14,25.3,154.6,870.4,2257.3,2026-07-23,"TTM (Q1 2026 ended March 31, 2026)","Mechanical and electrical contracting services including HVAC, plumbing, piping and controls, off-site modular construction, and electrical installations and maintenance.",StockAnalysis 2026 https://stockanalysis.com/stocks/fix/statistics,url
FSV,FirstService Corporation,restoration,USD,141.63,6.6,5.56,-10.1,-29.6,-6.3,-23.9,2026-07-23,TTM (Q1 2026),"Property services including residential management, roofing, fire protection, restoration, painting, closet installation, and home inspection",StockAnalysis 2026 https://stockanalysis.com/stocks/fsv/statistics,url
FTDR,"Frontdoor, Inc.",plumbing|restoration,USD,72.04,5.15,2.12,5.1,18.6,119.5,65.2,2026-07-23,TTM Q1 2026,"Home service plans covering HVAC, plumbing, electrical, and appliance repair and replacement",StockAnalysis 2026 https://stockanalysis.com/stocks/ftdr/statistics,url
GFF,Griffon Corporation,doors-access,USD,89.67,4.2,2.53,5.2,17.7,114.2,270.5,2026-07-23,TTM,"Manufactures residential and commercial garage doors, rolling steel doors, and professional landscaping/hand tools supplying garage door installation technicians, carpenters, and construction professionals.",stockanalysis.com 2026 https://stockanalysis.com/stocks/gff/statistics,url
GTES,Gates Industrial Corporation plc,hvac,USD,27.41,6.87,3.45,-0.6,7.2,123.2,67.3,2026-07-23,TTM (Q1 2026),"HVAC, plumbing, industrial machinery maintenance, and automotive repair (manufactures power transmission belts, hydraulic hoses, and fluid power solutions)",stockanalysis.com 2026 https://stockanalysis.com/stocks/gtes/statistics,url
GVA,Granite Construction Incorporated,concrete-masonry,USD,125.72,5.43,4.64,-6.5,16.7,204.5,210.1,2026-07-23,TTM (Q1 2026),"Heavy civil infrastructure construction (highways, roads, bridges, water management) and construction materials supply (aggregates, asphalt)",Stock Analysis 2026 https://stockanalysis.com/stocks/gva,url
GWW,"W.W. Grainger, Inc.",electrical|hvac,USD,1354.01,64.78,18.38,18.3,33.6,89.6,212.2,2026-07-23,TTM (Q1 2026),"Distributes maintenance, repair, and operating (MRO) products, equipment, tools, safety, electrical, plumbing, HVAC, and industrial supplies to skilled trades and facilities.","stockanalysis.com, 2026, https://stockanalysis.com/stocks/gww",url
HUBB,Hubbell Incorporated,electrical,USD,476.84,25.82,6,-6.8,10.6,46.2,131.4,2026-07-23,TTM,"Electrical contracting, utility grid transmission and distribution, and electrical equipment and installation components for electricians and utility lineworkers",Stock Analysis 2026 https://stockanalysis.com/stocks/hubb/statistics,url
IBP,"Installed Building Products, Inc.",roofing,USD,225.09,5.95,2.95,-31.3,-14,55.5,81.3,2026-07-23,Q1 2026 / TTM,"Residential and commercial insulation installation, waterproofing, fireproofing, garage doors, rain gutters, shower doors, and complementary trade products",StockAnalysis 2026 https://stockanalysis.com/stocks/ibp/statistics,url
IESC,"IES Holdings, Inc.",electrical,USD,674.2,12.21,3.63,36.1,93,799.2,1278.7,2026-07-23,TTM,"Electrical contracting, plumbing, HVAC, and communications/network infrastructure installation services",StockAnalysis 2026 https://stockanalysis.com/stocks/iesc/statistics,url
JCI,Johnson Controls International plc,fire-life-safety|low-voltage-security|hvac,USD,142.49,85.03,24.43,-1.3,33.3,141.3,90.5,2026-07-23,"TTM (Q2 FY2026 ended March 31, 2026)","HVAC (Heating, Ventilation, and Air Conditioning), building automation and controls, fire detection and suppression systems, and security system installation and technical services",StockAnalysis 2026 https://stockanalysis.com/stocks/jci/statistics,url
LII,Lennox International Inc.,hvac,USD,532.78,18.44,5.26,-6.5,-4.5,41.4,59,2026-07-23,TTM (Q1 2026),"HVAC (Heating, Ventilation, Air Conditioning) and refrigeration equipment, parts, and direct contractor distribution for HVAC technicians and mechanical contractors.",StockAnalysis 2026 https://stockanalysis.com/stocks/lii,url
LMB,"Limbach Holdings, Inc.",hvac|electrical,USD,75.43,0.88,0.65,-17.5,-34.2,108.8,854.8,2026-07-23,TTM Q1 2026,"Mechanical, electrical, plumbing, and controls (MEPC) engineering, HVAC, and building systems services",Stock Analysis 2026 https://stockanalysis.com/stocks/lmb/statistics,url
MAS,Masco Corporation,painting,USD,78.01,15.24,7.68,8.9,6.3,32.2,28.5,2026-07-23,TTM (Q1 2026),"Plumbing and painting/coatings; supplies plumbing fixtures, valves, shower systems, and architectural paints to professional plumbing and painting contractors",Stock Analysis 2026 https://stockanalysis.com/stocks/mas/statistics,url
MIDD,The Middleby Corporation,doors-access,USD,130.99,6.02,3.31,-3.6,19,11.8,-11,2026-07-23,TTM,"Manufactures and services commercial foodservice, refrigeration, beverage, and food processing equipment used by HVAC, electrical, and commercial kitchen technicians",StockAnalysis 2026 https://stockanalysis.com/stocks/midd/statistics,url
MLM,"Martin Marietta Materials, Inc.",concrete-masonry,USD,550.66,32.86,6.35,-18.6,-10.7,23.4,44.4,2026-07-23,TTM,"Supplies aggregates (crushed stone, sand, gravel), ready-mixed concrete, asphalt, paving services, and magnesia-based chemical products used across heavy construction, infrastructure, paving, and masonry skilled trades.",StockAnalysis 2026 https://stockanalysis.com/stocks/mlm/statistics,url
MTZ,"MasTec, Inc.",concrete-masonry,USD,357.35,26.25,15.28,19.9,96.7,259.2,290.8,2026-07-23,TTM Q1 2026,"Specialty contracting and infrastructure construction across power delivery, electrical transmission, clean energy, telecommunications, and pipeline utilities",StockAnalysis 2026 https://stockanalysis.com/stocks/mtz/statistics,url
MYRG,MYR Group Inc.,electrical,USD,409.07,6.37,3.82,51.5,118.4,187.9,293.3,2026-07-23,Q1 2026,"Specialty electrical construction services including electrical transmission and distribution (T&D) networks, substations, and commercial and industrial (C&I) electrical systems",stockanalysis.com 2026 https://stockanalysis.com/stocks/myrg/statistics,url
NVT,nVent Electric plc,electrical,USD,158.47,25.05,4.33,33.9,75.3,180.3,361.2,2026-07-23,TTM Q1 2026,"Electrical trades (supplies electrical connection and protection products, enclosures, grounding and bonding solutions, fastening systems, and cable management equipment to electrical contractors)",StockAnalysis 2026 https://stockanalysis.com/stocks/nvt/statistics,url
OC,Owens Corning,roofing,USD,139.86,11.59,9.84,14.6,-6.9,-2.8,46.4,2026-07-23,Q1 2026,"Roofing, insulation, and door installation trades",StockAnalysis 2026 https://stockanalysis.com/stocks/oc,url
PGTI,"PGT Innovations, Inc.",glass-glazing,,,2.4,1.5,,,,,2026-07-23,FY 2023,"Manufacturing and supplying impact-resistant windows, doors, and garage doors for residential and commercial glazing, carpentry, and building trades",Robinhood 2024 https://robinhood.com/stocks/PGTI,url
POOL,Pool Corporation,landscaping,USD,196.19,7.33,5.36,-13.6,-36.9,-46.3,-60.3,2026-07-23,TTM (Q1 2026),"Wholesale distribution of swimming pool equipment, building materials, irrigation, plumbing, and outdoor living supplies for pool construction, repair, and maintenance trades",stockanalysis.com 2026 https://stockanalysis.com/stocks/pool/statistics,url
POWL,"Powell Industries, Inc.",electrical,USD,240.68,8.9,1.13,37.9,171.3,759.9,2753.9,2026-07-23,TTM,"Custom-engineered electrical power distribution, switchgear, and control systems equipment and services for electrical trade contractors, industrial facilities, and utilities",StockAnalysis 2026 https://stockanalysis.com/stocks/powl/statistics,url
PPG,"PPG Industries, Inc.",painting,USD,117.39,26.16,16.12,-4.8,5.5,-17.2,-26.4,2026-07-23,TTM Q1 2026,"Paints, performance coatings, sealants, adhesives, and finishes for professional painters, commercial and residential construction contractors, automotive refinishing technicians, and industrial applicators",StockAnalysis 2026 https://stockanalysis.com/stocks/ppg/statistics,url
PRIM,Primoris Services Corporation,electrical|concrete-masonry,USD,89.52,4.91,7.49,-40.6,-24.5,153.1,248.3,2026-07-23,TTM (Q1 2026),"Specialty construction and infrastructure services across utilities (electrical transmission and distribution, natural gas, communications) and energy (pipeline construction, solar/renewables, industrial and power generation trades)",StockAnalysis 2026 https://stockanalysis.com/stocks/prim/statistics,url
PWR,"Quanta Services, Inc.",electrical|low-voltage-security,USD,643.14,95.92,30.12,14.2,70.2,206.4,529.9,2026-07-23,TTM (Q1 2026),"Electrical contracting, high-voltage electric transmission & distribution infrastructure construction, renewable energy infrastructure, underground gas utility infrastructure, industrial electrical & mechanical trades, and communications contracting.","StockAnalysis, 2026, https://stockanalysis.com/stocks/pwr/statistics",url
QXO,"QXO, Inc.",roofing,USD,13.85,14.22,8.56,-42.2,-31.2,-54.2,-75.9,2026-07-23,"TTM (Q1 2026 ended March 31, 2026)","Roofing, waterproofing, siding, and complementary building products distribution",StockAnalysis 2026 https://stockanalysis.com/stocks/qxo/statistics,url
ROAD,"Construction Partners, Inc.",concrete-masonry,USD,104.24,5.91,3.26,-22.4,-13.1,200,211.4,2026-07-23,"Q2 FY2026 TTM (ended March 31, 2026)","Civil infrastructure construction, roadway paving and maintenance, hot-mix asphalt manufacturing, bridge construction",Stock Analysis 2026 (https://stockanalysis.com/stocks/road/),url
ROL,"Rollins, Inc.",plumbing|commercial-cleaning,USD,43.47,21.72,3.84,-28.6,-23.1,9.9,11.7,2026-07-23,TTM,"Pest control, termite protection, and wildlife management services for residential and commercial properties",stockanalysis.com 2026 https://stockanalysis.com/stocks/rol,url
RPM,RPM International Inc.,painting|restoration,USD,107.43,13.41,7.71,-5.9,-14.3,7.7,30.6,2026-07-23,TTM,"Roofing, waterproofing, painting, masonry, concrete repair, and specialized flooring trades",StockAnalysis 2026 https://stockanalysis.com/stocks/rpm/statistics,url
SHW,The Sherwin-Williams Company,painting,USD,319.91,81.24,23.94,-11.8,-12.6,17.7,5.3,2026-07-23,TTM,"Painting, industrial finishing, and protective coating contractors","stockanalysis.com, 2026, https://stockanalysis.com/stocks/shw/statistics",url
SITE,"SiteOne Landscape Supply, Inc.",landscaping,USD,103.23,4.55,4.71,-27.8,-27.9,-39.7,-48.4,2026-07-23,"TTM (Q1 2026 ended March 29, 2026)","Wholesale distribution of landscape supplies, irrigation, agronomics, hardscapes, outdoor lighting, and nursery products for professional landscaping contractors and skilled trades",StockAnalysis 2026 https://stockanalysis.com/stocks/site/statistics,url
SMG,The Scotts Miracle-Gro Company,landscaping,USD,68.7,3.99,3.47,-2,12.2,21.2,-56.2,2026-07-23,TTM,"Landscaping, lawn care, turf maintenance, horticulture, and commercial groundskeeping",StockAnalysis 2026 https://stockanalysis.com/stocks/smg,url
STRL,"Sterling Infrastructure, Inc.",concrete-masonry,USD,719.34,19.59,2.88,68,158.3,769.2,3019.4,2026-07-23,TTM Q1 2026,"Heavy civil engineering, large-scale site preparation, concrete foundation and slab work, electrical infrastructure services, and transportation infrastructure construction.",StockAnalysis 2026 https://stockanalysis.com/stocks/strl/statistics,url
SUM,"Summit Materials, Inc.",concrete-masonry,,,9.22,1.11,,,,,2026-07-23,Q3 2024,"Aggregates, cement, ready-mix concrete, and asphalt production and supply for masonry, concrete work, paving, and heavy civil construction trades",Robinhood 2025 https://robinhood.com/stocks/SUM,url
TGLS,Tecnoglass Inc.,glass-glazing,USD,45.22,2.11,1.01,-0.7,-37.7,16,97.8,2026-07-23,Q1 2026 TTM,"Manufactures, supplies, and installs architectural glass, windows, and aluminum products for glazing trades, window contractors, and commercial/residential builders.",stockanalysis.com 2026 https://stockanalysis.com/stocks/tgls/statistics,url
TT,Trane Technologies plc,hvac,USD,473.6,103.89,21.6,2.4,14,130.7,138.6,2026-07-23,TTM Q1 2026,"HVAC (heating, ventilation, and air conditioning), building automation, and transport refrigeration equipment and services",StockAnalysis 2026 https://stockanalysis.com/stocks/tt,url
TTC,The Toro Company,landscaping,USD,94.86,8.88,4.66,-4,17,-7.3,-13.7,2026-07-23,Q2 2026,"Landscaping, groundskeeping, turf management, professional irrigation, and underground utility construction equipment (Ditch Witch, BOSS, Exmark)",StockAnalysis 2026 https://stockanalysis.com/stocks/ttc/statistics,url
TTEK,"Tetra Tech, Inc.",restoration,USD,30.98,8.2,4.4,-13.6,-14.9,-1.6,7.7,2026-07-23,TTM (Q2 FY2026),"Provides consulting, engineering, program management, and construction management services for water resources, environmental remediation, sustainable infrastructure, and energy facilities.",StockAnalysis 2026 https://stockanalysis.com/stocks/ttek/statistics,url
VMC,Vulcan Materials Company,concrete-masonry,USD,277.83,36.41,8.06,-10.4,-4.6,27.3,49.4,2026-07-23,TTM Q1 2026,"Supplies construction aggregates (crushed stone, sand, gravel), asphalt, and ready-mixed concrete for masonry, paving, roadbuilding, and civil construction trades",StockAnalysis 2026 (https://stockanalysis.com/stocks/vmc/statistics/),url
WCC,"WESCO International, Inc.",electrical,USD,330.55,15.97,24.25,14.2,50.4,104.2,182.5,2026-07-23,TTM (Q1 2026),"Distributor and supply chain solutions provider serving electrical contractors, telecommunications & security technicians, utility linemen, and industrial MRO skilled trades.",StockAnalysis 2026 https://stockanalysis.com/stocks/wcc,url
WMS,"Advanced Drainage Systems, Inc.",concrete-masonry,USD,141.75,11.31,3.05,-17.3,-1.5,10.6,24.2,2026-07-23,"FY2026 (ended March 31, 2026)","Manufactures and supplies thermoplastic corrugated pipes, leachfield chambers, septic tanks, and water management products for plumbing, drainage, wastewater, and underground utilities contractors.",stockanalysis.com 2026 https://stockanalysis.com/stocks/wms/statistics,url
WSO,"Watsco, Inc.",hvac,USD,362,14.37,7.24,-13.3,-10,-0.7,30,2026-07-23,FY 2025,"HVAC/R (Heating, Ventilation, Air Conditioning, and Refrigeration) equipment, parts, and supplies distribution",stockanalysis.com 2026 https://stockanalysis.com/stocks/wso,url
WTS,"Watts Water Technologies, Inc.",plumbing,USD,341.54,11.39,2.56,3.9,23.3,80.9,99.1,2026-07-23,TTM (Q1 2026),"Plumbing, HVAC, hydronics, drainage, and water quality and flow control systems",StockAnalysis 2026 https://stockanalysis.com/stocks/wts/statistics,url
ZWS,Zurn Elkay Water Solutions Corporation,plumbing,USD,47.48,8.1,1.74,-6.9,4.7,60.3,62.2,2026-07-23,TTM (Q1 2026),"Plumbing, water management, drainage, backflow prevention, and water filtration systems for commercial, institutional, and residential applications",StockAnalysis 2026 https://stockanalysis.com/stocks/zws/statistics,url
